name,email,annual_revenue,plan_type,tenure_months,monthly_charges,has_dedicated_csm,csm_name,csm_email,days_since_last_login,events_per_month_trend,support_ticket_velocity,churn_probability,risk_tier,churn_drivers,intervention_status
NovaSeat-3655-SNQYZ,3655-snqyz@example.com,1359.0,Enterprise,69,113.25,True,,,20,Declining,0.75,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9269}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-8191-XWSZG,8191-xwszg@example.com,247.8,Pro,52,20.65,False,,,22,Stable,1.11,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9959-WOFKT,9959-wofkt@example.com,1280.4,Enterprise,71,106.7,False,,,26,Stable,1.49,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.744}, {""driver"": ""days_since_last_login"", ""impact"": -0.7515}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-4190-MFLUW,4190-mfluw@example.com,662.4,Starter,10,55.2,True,,,47,Declining,3.88,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-4183-MYFRB,4183-myfrb@example.com,1080.6,Starter,21,90.05,False,,,14,Increasing,0.93,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8779-QRDMV,8779-qrdmv@example.com,475.8,Starter,1,39.65,False,,,72,Declining,3.95,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-1680-VDCWW,1680-vdcww@example.com,237.6,Pro,12,19.8,False,,,1,Increasing,1.28,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-1066-JKSGK,1066-jksgk@example.com,241.8,Starter,1,20.15,False,,,63,Stable,2.11,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1335}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2298}]",None
NovaSeat-3638-WEABW,3638-weabw@example.com,718.8,Enterprise,58,59.9,True,,,12,Stable,1.46,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6322-HRPFA,6322-hrpfa@example.com,715.2,Starter,49,59.6,True,,,1,Increasing,0.92,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6865-JZNKO,6865-jznko@example.com,663.6,Starter,30,55.3,False,,,18,Increasing,0.81,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6467-CHFZW,6467-chfzw@example.com,1192.2,Starter,47,99.35,False,,,29,Declining,1.55,0.9997,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.9594}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}, {""driver"": ""tenure_months"", ""impact"": -0.0852}]",None
NovaSeat-8665-UTDHZ,8665-utdhz@example.com,362.4,Starter,1,30.2,False,,,76,Declining,2.61,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-5248-YGIJN,5248-ygijn@example.com,1083.0,Enterprise,72,90.25,True,,,2,Increasing,1.14,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8773-HHUOZ,8773-hhuoz@example.com,776.4,Starter,17,64.7,False,,,61,Declining,3.18,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-3841-NFECX,3841-nfecx@example.com,1156.2,Enterprise,71,96.35,True,,,2,Increasing,1.25,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-4929-XIHVW,4929-xihvw@example.com,1146.0,Starter,2,95.5,False,,,30,Stable,0.84,0.0006,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.868}, {""driver"": ""days_since_last_login"", ""impact"": 0.649}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6827-IEAUQ,6827-ieauq@example.com,793.8,Pro,27,66.15,True,,,9,Increasing,0.89,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7310-EGVHZ,7310-egvhz@example.com,242.4,Starter,1,20.2,False,,,23,Increasing,0.66,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-3413-BMNZE,3413-bmnze@example.com,543.0,Starter,1,45.25,False,,,26,Increasing,1.02,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9255}, {""driver"": ""days_since_last_login"", ""impact"": -0.7689}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6234-RAAPL,6234-raapl@example.com,1198.8,Enterprise,72,99.9,True,,,5,Stable,1.24,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-6047-YHPVI,6047-yhpvi@example.com,836.4,Starter,5,69.7,False,,,21,Declining,2.65,0.9996,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 8.2063}, {""driver"": ""days_since_last_login"", ""impact"": -0.8376}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-6572-ADKRS,6572-adkrs@example.com,897.6,Starter,46,74.8,False,,,15,Stable,1.44,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5380-WJKOV,5380-wjkov@example.com,1276.2,Starter,34,106.35,False,,,87,Declining,2.79,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-8168-UQWWF,8168-uqwwf@example.com,1174.2,Starter,11,97.85,False,,,53,Stable,3.58,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1335}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2298}]",None
NovaSeat-8865-TNMNX,8865-tnmnx@example.com,594.6,Pro,10,49.55,False,,,2,Declining,1.14,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9269}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-9489-DEDVP,9489-dedvp@example.com,830.4,Enterprise,70,69.2,False,,,17,Increasing,1.35,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9867-JCZSP,9867-jczsp@example.com,249.0,Pro,17,20.75,False,,,6,Stable,1.45,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-4671-VJLCL,4671-vjlcl@example.com,958.2,Enterprise,63,79.85,True,,,8,Stable,1.27,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-4080-IIARD,4080-iiard@example.com,914.4,Starter,13,76.2,True,,,19,Stable,0.7,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-3714-NTNFO,3714-ntnfo@example.com,1014.0,Starter,49,84.5,False,,,11,Declining,1.48,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8046}, {""driver"": ""days_since_last_login"", ""impact"": -0.8439}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-5948-UJZLF,5948-ujzlf@example.com,591.0,Starter,2,49.25,False,,,4,Increasing,1.42,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9022}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7760-OYPDY,7760-oypdy@example.com,967.8,Starter,2,80.65,False,,,74,Stable,3.93,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1335}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2298}]",None
NovaSeat-7639-LIAYI,7639-liayi@example.com,957.0,Enterprise,52,79.75,True,,,10,Increasing,1.06,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-2954-PIBKO,2954-pibko@example.com,769.8,Enterprise,69,64.15,True,,,24,Stable,1.06,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9367}, {""driver"": ""days_since_last_login"", ""impact"": -0.8214}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8012-SOUDQ,8012-soudq@example.com,1083.0,Starter,43,90.25,False,,,29,Increasing,0.94,0.0005,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.7771}, {""driver"": ""days_since_last_login"", ""impact"": 0.3707}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9420-LOJKX,9420-lojkx@example.com,1189.2,Starter,15,99.1,False,,,61,Declining,2.08,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-6575-SUVOI,6575-suvoi@example.com,834.0,Starter,25,69.5,True,,,4,Increasing,0.56,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7495-OOKFY,7495-ookfy@example.com,967.8,Starter,8,80.65,False,,,50,Declining,3.13,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-4667-QONEA,4667-qonea@example.com,898.2,Pro,60,74.85,True,,,26,Increasing,0.71,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9255}, {""driver"": ""days_since_last_login"", ""impact"": -0.7689}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-1658-BYGOY,1658-bygoy@example.com,1145.4,Starter,18,95.45,False,,,18,Stable,3.46,0.9993,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 8.2348}, {""driver"": ""days_since_last_login"", ""impact"": -0.8376}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2298}]",None
NovaSeat-8769-KKTPH,8769-kktph@example.com,1195.8,Pro,63,99.65,False,,,30,Stable,1.28,0.0005,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.868}, {""driver"": ""days_since_last_login"", ""impact"": 0.649}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5067-XJQFU,5067-xjqfu@example.com,1301.4,Pro,66,108.45,True,,,28,Stable,0.75,0.0003,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8629}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}, {""driver"": ""tenure_months"", ""impact"": -0.0852}]",None
NovaSeat-3957-SQXML,3957-sqxml@example.com,299.4,Enterprise,34,24.95,False,,,17,Increasing,0.89,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5954-BDFSG,5954-bdfsg@example.com,1290.0,Enterprise,72,107.5,True,,,11,Stable,1.45,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8655}, {""driver"": ""days_since_last_login"", ""impact"": -0.8532}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-0434-CSFON,0434-csfon@example.com,1206.0,Starter,47,100.5,False,,,12,Declining,1.26,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9269}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-1215-FIGMP,1215-figmp@example.com,1078.8,Starter,60,89.9,False,,,8,Stable,1.07,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-0526-SXDJP,0526-sxdjp@example.com,505.2,Enterprise,72,42.1,False,,,1,Stable,0.72,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-0557-ASKVU,0557-askvu@example.com,652.8,Pro,18,54.4,True,,,4,Increasing,0.93,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5698-BQJOH,5698-bqjoh@example.com,1132.8,Starter,9,94.4,False,,,48,Declining,3.94,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-5122-CYFXA,5122-cyfxa@example.com,903.6,Starter,3,75.3,True,,,15,Stable,1.32,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8627-ZYGSZ,8627-zygsz@example.com,946.8,Pro,47,78.9,False,,,15,Increasing,0.74,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-3410-YOQBQ,3410-yoqbq@example.com,950.4,Enterprise,31,79.2,True,,,23,Increasing,1.16,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-3170-NMYVV,3170-nmyvv@example.com,241.8,Enterprise,50,20.15,False,,,2,Stable,0.6,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-7410-OIEDU,7410-oiedu@example.com,958.2,Starter,10,79.85,False,,,21,Increasing,0.52,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-2273-QCKXA,2273-qckxa@example.com,588.6,Starter,1,49.05,True,,,3,Stable,1.05,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-0731-EBJQB,0731-ebjqb@example.com,244.8,Pro,52,20.4,False,,,10,Stable,0.72,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-1891-QRQSA,1891-qrqsa@example.com,1339.2,Enterprise,64,111.6,True,,,22,Increasing,0.58,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-8028-PNXHQ,8028-pnxhq@example.com,291.0,Enterprise,62,24.25,False,,,25,Increasing,1.23,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.938}, {""driver"": ""days_since_last_login"", ""impact"": -0.8201}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5630-AHZIL,5630-ahzil@example.com,774.0,Starter,3,64.5,True,,,13,Stable,1.0,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-2673-CXQEU,2673-cxqeu@example.com,1326.0,Pro,56,110.5,False,,,28,Stable,1.3,0.0003,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.8629}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}, {""driver"": ""tenure_months"", ""impact"": -0.0852}]",None
NovaSeat-6416-JNVRK,6416-jnvrk@example.com,667.8,Pro,46,55.65,False,,,2,Stable,1.16,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5590-ZSKRV,5590-zskrv@example.com,655.8,Starter,8,54.65,False,,,15,Declining,1.23,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9269}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-0191-ZHSKZ,0191-zhskz@example.com,897.0,Starter,30,74.75,False,,,21,Declining,0.81,0.0002,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9269}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": 0.3312}]",None
NovaSeat-3887-PBQAO,3887-pbqao@example.com,310.8,Pro,45,25.9,False,,,14,Stable,0.76,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-5919-TMRGD,5919-tmrgd@example.com,952.2,Starter,1,79.35,False,,,59,Declining,3.44,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1049}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": 0.294}]",None
NovaSeat-8108-UXRQN,8108-uxrqn@example.com,606.6,Starter,11,50.55,False,,,30,Increasing,0.7,0.0006,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.868}, {""driver"": ""days_since_last_login"", ""impact"": 0.649}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
NovaSeat-9191-MYQKX,9191-myqkx@example.com,901.8,Starter,7,75.15,False,,,85,Increasing,3.73,0.9999,Critical,"[{""driver"": ""support_ticket_velocity"", ""impact"": 7.1335}, {""driver"": ""days_since_last_login"", ""impact"": 1.8591}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2298}]",None
NovaSeat-9919-YLNNG,9919-ylnng@example.com,1245.6,Starter,42,103.8,True,,,8,Increasing,1.02,1e-04,Low,"[{""driver"": ""support_ticket_velocity"", ""impact"": -7.9462}, {""driver"": ""days_since_last_login"", ""impact"": -0.8614}, {""driver"": ""events_per_month_trend"", ""impact"": -0.2406}]",None
